kcet,puc,college
5494,75,DAYANANDA SAGAR COLLEGE
144,85,RV COLLEGE OF ENGINEERING
477,85,BMS COLLEGE OF ENGINEERING
402,85,RAMAIAH INSTITUTE OF TECHNOLOGY
1799,75,BANGALORE INSTITUTE OF TECHNOLOGY
16560,75,REVA UNIVERSITY BANGALORE
10097,75,ACHARYA INSTITUTE OF TECHNOLOGY
9564,75,DR AMBEDKAR INSTITUTE OF TECHNOLOGY
53037,75,PRESIDENCY UNIVERSITY 
1577,75,UNIVERSITY VISVESVARAYA COLLEGE OF ENGINEERING
1458,75,JSS SCIENCE AND TECHNOLOGY UNIVERSITY
6150,75,NITTE MEENAKSHI INSTITUTE OF TECHNOLOGY
12392,75,NEW HORIZON COLLEGE OF ENGINEERING
5000,75,MS RAMAIAH UNIVERSITY OF APPLIED SCIENCES
405,85,PES UNIVERSITY
9005,75,K.L.S GOGTE INSTITUTE OF TECHNOLOGY
13307,75,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY
24058,75,THE OXFORD COLLEGE OF ENGINEERING
2389,75,THE NATIONAL INSTITUTE OF ENGINEERING
9656,75,S K S J T INSTITUTE OF ENGINEERING
20998,75,ISLAMIA INSTITUTE OF TECHNOLOGY
16223,75,M V J COLLEGE OF ENGINEERING
3438,80,SIR M.VISVESWARAYA INSTITUTE OF TECHNOLOGY
59060,75,GHOUSIA ENGINEERING COLLEGE
23703,75,S J C INSTITUTE OF TECHNOLOGY
41305,75,DR.T.THIMMAIAH INSTITUTE OF TECHNOLOGY
3618,75,SIDDAGANGA INSTITUTE OF TECHNOLOGY
26600,75,SRI SIDDARTHA INSTITUTE OF TECHNOLOGY
42212,75,KALPATHARU INSTITUTE OF TECHNOLOGY
39990,75,TONTADARYA COLLEGE OF ENGINEERING
38730,75,MARATHA MANDAL ENGINEERING COLLEGE
17756,75,BASAVESHWARA ENGINEERING COLLEGE
58032,75,R.T.E SOCITY`S RURAL ENGINEERING COLLEGE
53748,75,SRI TARALABALU JAGADGURU INSTITUTE OF TECHNOLOGY.
9617,75,SRI DHARMASTHALA MANJUNATHESWARA COLLEGE OF ENGINEERING
100656,75,ANJUMAN ENGINEERING COLLEGE BHATKALA
15600,75,K L E DR. M S SHESHAGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY
26442,75,B L D E AS V.P. DR. P. G. HALLAKATTI COLLEGE OF ENGG. AND TECH
41385,75,HIRA SUGAR INSTITUTE OF TECHNOLOGY
32587,75,KHAJA BANDA NAWAZ UNIVERSITY
29196,75,GURUNANAK DEV ENGINEERING COLLEGE
35458,75,BHEEMANNA KHANDRE INSTITUTE OF TECHNOLOGY
51841,75,RAO BAHADUR Y.MAHABALESWARAPPA ENGINEERING COLLEGE
69493,75,H K ES S L N COLLEGE OF ENGINEERING
12103,75,MALNAD COLLEGE OF ENGINEERING
59622,75,K V G COLLEGE OF ENGINEERING
66835,75,P A COLLEGE OF ENGINEERING
15687,75,BAPUJI INSTITUTE OF ENGINEERING AND TECHNOLOGY
52324,75,S J M INSTITUTE OF TECHNOLOGY
25758,75,ADHICHUNCHANAGIRI INSTITUTE OF TECHNOLOGY
